deveui;horodate;degre_celsius
70b3d580a0100550;29/04/2022 13:35;21,1875
70b3d580a0100742;29/04/2022 13:34;20
70b3d580a01005fa;29/04/2022 13:33;20
70b3d580a0100600;29/04/2022 13:31;21
70b3d580a0100549;29/04/2022 13:31;20,0625
70b3d580a010054c;29/04/2022 13:30;20,5625
70b3d580a010054c;29/04/2022 13:30;20,5625
70b3d580a0100605;29/04/2022 13:29;20,4375
70b3d580a0100605;29/04/2022 13:29;20,4375
70b3d580a0100647;29/04/2022 13:28;20,8125
70b3d580a0100648;29/04/2022 13:26;19,8125
70b3d580a0100623;29/04/2022 13:22;20,9375
70b3d580a0100654;29/04/2022 13:21;21,3125
70b3d580a0100657;29/04/2022 13:17;20,375
70b3d580a0100652;29/04/2022 13:15;18,625
70b3d580a0100543;29/04/2022 13:12;20,5
70b3d580a0100543;29/04/2022 13:12;20,5
70b3d580a01006cf;29/04/2022 13:11;20,5
70b3d580a0100656;29/04/2022 13:08;19,5
70b3d580a0100550;29/04/2022 13:05;20,625
70b3d580a0100550;29/04/2022 13:05;20,625
70b3d580a0100550;29/04/2022 13:05;20,625
70b3d580a0100742;29/04/2022 13:04;19,1875
70b3d580a01005fa;29/04/2022 13:03;19,6875
70b3d580a0100600;29/04/2022 13:01;20,5625
70b3d580a0100549;29/04/2022 13:01;19,5
70b3d580a010054c;29/04/2022 13:00;19,875
70b3d580a010054c;29/04/2022 13:00;19,875
70b3d580a0100605;29/04/2022 12:59;20,5
70b3d580a0100605;29/04/2022 12:59;20,5
70b3d580a0100647;29/04/2022 12:58;20,25
70b3d580a0100648;29/04/2022 12:56;19,0625
70b3d580a0100623;29/04/2022 12:52;19,9375
70b3d580a0100654;29/04/2022 12:51;20,375
70b3d580a0100657;29/04/2022 12:47;20,0625
70b3d580a0100652;29/04/2022 12:45;18,4375
70b3d580a01007a5;29/04/2022 12:44;19,3125
70b3d580a0100543;29/04/2022 12:42;19,625
70b3d580a01006cf;29/04/2022 12:41;19,4375
70b3d580a0100656;29/04/2022 12:38;18,9375
70b3d580a0100550;29/04/2022 12:35;19,6875
70b3d580a0100550;29/04/2022 12:35;19,6875
70b3d580a0100550;29/04/2022 12:35;19,6875
70b3d580a0100742;29/04/2022 12:34;18,3125
70b3d580a01005fa;29/04/2022 12:33;18,6875
70b3d580a0100600;29/04/2022 12:31;19,625
70b3d580a0100549;29/04/2022 12:31;18,875
70b3d580a010054c;29/04/2022 12:30;19,25
70b3d580a010054c;29/04/2022 12:30;19,25
70b3d580a0100605;29/04/2022 12:29;19,3125
70b3d580a0100605;29/04/2022 12:29;19,3125
70b3d580a0100647;29/04/2022 12:28;19,25
70b3d580a0100648;29/04/2022 12:26;18,25
70b3d580a0100623;29/04/2022 12:22;18,9375
70b3d580a0100654;29/04/2022 12:21;19,5
70b3d580a0100657;29/04/2022 12:17;19,1875
70b3d580a0100652;29/04/2022 12:15;18,1875
70b3d580a01007a5;29/04/2022 12:14;18,8125
70b3d580a0100543;29/04/2022 12:12;18,75
70b3d580a0100656;29/04/2022 12:08;17,9375
70b3d580a0100550;29/04/2022 12:05;18,9375
70b3d580a0100550;29/04/2022 12:05;18,9375
70b3d580a0100550;29/04/2022 12:05;18,9375
70b3d580a0100742;29/04/2022 12:04;18,25
70b3d580a01005fa;29/04/2022 12:03;17,875
70b3d580a0100600;29/04/2022 12:01;18,75
70b3d580a0100549;29/04/2022 12:01;18,1875
70b3d580a010054c;29/04/2022 12:00;18,3125
70b3d580a010054c;29/04/2022 12:00;18,3125
70b3d580a0100605;29/04/2022 11:59;18,6875
70b3d580a0100647;29/04/2022 11:58;18,4375
70b3d580a0100648;29/04/2022 11:56;17,5625
70b3d580a0100623;29/04/2022 11:52;17,875
70b3d580a0100654;29/04/2022 11:51;18,4375
70b3d580a0100657;29/04/2022 11:47;18,9375
70b3d580a0100652;29/04/2022 11:45;17,6875
70b3d580a01007a5;29/04/2022 11:44;17,5625
70b3d580a0100543;29/04/2022 11:42;18,125
70b3d580a01006cf;29/04/2022 11:41;17,75
70b3d580a0100656;29/04/2022 11:38;17,8125
70b3d580a0100550;29/04/2022 11:35;18,5
70b3d580a0100550;29/04/2022 11:35;18,5
70b3d580a0100550;29/04/2022 11:35;18,5
70b3d580a0100742;29/04/2022 11:34;17,5625
