date;debut;end;count;count_b
03/12/2024;07:45:00;08:00:00;4;
03/12/2024;08:00:00;08:15:00;5;
03/12/2024;08:15:00;08:30:00;5;
03/12/2024;08:30:00;08:45:00;6;
03/12/2024;08:45:00;09:00:00;1;
10/06/2025;07:30:00;07:45:00;0;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;08:00:00;08:15:00;0;
10/06/2025;08:15:00;08:30:00;0;
10/06/2025;08:30:00;08:45:00;2;
10/06/2025;08:45:00;09:00:00;0;
10/06/2025;07:30:00;07:45:00;4;
10/06/2025;07:45:00;08:00:00;8;
10/06/2025;08:00:00;08:15:00;5;
10/06/2025;08:15:00;08:30:00;3;
10/06/2025;08:30:00;08:45:00;5;
10/06/2025;08:45:00;09:00:00;3;
10/06/2025;07:30:00;07:45:00;2;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;08:00:00;08:15:00;3;
10/06/2025;08:15:00;08:30:00;3;
10/06/2025;08:30:00;08:45:00;3;
10/06/2025;08:45:00;09:00:00;2;
10/06/2025;07:30:00;07:45:00;0;
10/06/2025;07:45:00;08:00:00;5;
10/06/2025;08:00:00;08:15:00;4;
10/06/2025;08:15:00;08:30:00;13;
10/06/2025;08:30:00;08:45:00;6;
10/06/2025;08:45:00;09:00:00;5;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;08:00:00;08:15:00;0;
10/06/2025;08:15:00;08:30:00;4;
10/06/2025;08:30:00;08:45:00;4;
10/06/2025;08:45:00;09:00:00;4;
10/06/2025;07:30:00;07:45:00;4;
10/06/2025;07:45:00;08:00:00;7;
10/06/2025;08:00:00;08:15:00;6;
10/06/2025;08:15:00;08:30:00;6;
10/06/2025;08:30:00;08:45:00;7;
10/06/2025;08:45:00;09:00:00;9;
10/06/2025;07:30:00;07:45:00;10;
10/06/2025;07:45:00;08:00:00;10;
10/06/2025;08:00:00;08:15:00;9;
10/06/2025;08:15:00;08:30:00;3;
10/06/2025;08:30:00;08:45:00;20;
10/06/2025;08:45:00;09:00:00;11;
10/06/2025;07:30:00;07:45:00;5;
10/06/2025;07:45:00;08:00:00;11;
10/06/2025;08:00:00;08:15:00;15;
10/06/2025;08:15:00;08:30:00;14;
10/06/2025;08:30:00;08:45:00;22;
10/06/2025;08:45:00;09:00:00;8;
10/06/2025;07:30:00;07:45:00;2;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;08:00:00;08:15:00;6;
10/06/2025;08:15:00;08:30:00;7;
10/06/2025;08:30:00;08:45:00;4;
10/06/2025;08:45:00;09:00:00;4;
10/06/2025;07:30:00;07:45:00;5;
10/06/2025;07:45:00;08:00:00;4;
10/06/2025;08:00:00;08:15:00;8;
10/06/2025;08:15:00;08:30:00;8;
10/06/2025;08:30:00;08:45:00;13;
10/06/2025;08:45:00;09:00:00;14;
10/06/2025;07:30:00;07:45:00;0;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;08:00:00;08:15:00;0;
10/06/2025;08:15:00;08:30:00;0;
10/06/2025;08:30:00;08:45:00;0;
10/06/2025;08:45:00;09:00:00;0;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:45:00;08:00:00;4;
10/06/2025;08:00:00;08:15:00;0;
10/06/2025;08:15:00;08:30:00;0;
10/06/2025;08:30:00;08:45:00;1;
10/06/2025;08:45:00;09:00:00;2;
10/06/2025;07:30:00;07:45:00;0;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:15:00;08:30:00;0;
10/06/2025;08:30:00;08:45:00;2;
10/06/2025;08:45:00;09:00:00;4;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;08:00:00;08:15:00;5;
10/06/2025;08:15:00;08:30:00;3;
10/06/2025;08:30:00;08:45:00;5;
10/06/2025;08:45:00;09:00:00;2;
14/06/2022;07:30:00;09:00:00;254;
01/07/2021;07:30:00;09:00:00;134;
10/06/2025;07:30:00;07:45:00;3;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;3;
10/06/2025;07:30:00;07:45:00;3;
10/06/2025;07:30:00;07:45:00;2;
10/06/2025;07:30:00;07:45:00;2;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:45:00;08:00:00;3;
10/06/2025;07:45:00;08:00:00;3;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;8;
10/06/2025;07:45:00;08:00:00;7;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;07:45:00;08:00:00;3;
10/06/2025;07:45:00;08:00:00;3;
10/06/2025;07:45:00;08:00:00;1;28
10/06/2025;07:45:00;08:00:00;1;2
10/06/2025;07:45:00;08:00:00;5;1
10/06/2025;07:45:00;08:00:00;1;11
10/06/2025;07:45:00;08:00:00;2;2
10/06/2025;07:45:00;08:00:00;1;1
10/06/2025;08:00:00;08:15:00;2;4
